iter	Passed	Remaining
538	3905	7115
539	3913	7109
540	3920	7102
541	3928	7096
542	3936	7089
543	3942	7080
544	3950	7075
545	3958	7068
546	3967	7063
547	3974	7056
548	3980	7047
549	3988	7041
550	3995	7033
551	4002	7026
552	4011	7022
553	4019	7015
554	4026	7008
555	4033	7000
556	4042	6996
557	4049	6988
558	4056	6980
559	4062	6971
560	4069	6964
561	4076	6956
562	4084	6949
563	4091	6943
564	4098	6934
565	4105	6927
566	4111	6918
567	4117	6908
568	4124	6901
569	4131	6892
570	4138	6885
571	4144	6876
572	4150	6867
573	4156	6857
574	4164	6850
575	4171	6843
576	4177	6835
577	4185	6829
578	4193	6822
579	4199	6813
580	4207	6807
581	4214	6799
582	4220	6790
583	4228	6785
584	4235	6777
585	4242	6769
586	4249	6761
587	4257	6755
588	4262	6745
589	4268	6736
590	4274	6726
591	4282	6719
592	4289	6713
593	4294	6702
594	4301	6694
595	4308	6686
596	4315	6679
597	4322	6671
598	4329	6664
599	4337	6658
600	4346	6653
601	4353	6646
602	4361	6640
603	4369	6634
604	4377	6627
605	4390	6628
606	4397	6621
607	4404	6614
608	4413	6609
609	4421	6602
610	4428	6595
611	4435	6588
612	4443	6582
613	4449	6573
614	4457	6565
615	4463	6558
616	4470	6549
617	4477	6541
618	4485	6535
619	4494	6531
620	4499	6520
621	4506	6513
622	4512	6504
623	4518	6495
624	4526	6488
625	4531	6479
626	4539	6472
627	4548	6467
628	4555	6460
629	4562	6452
630	4570	6446
631	4577	6438
632	4585	6432
633	4591	6423
634	4598	6416
635	4605	6408
636	4613	6401
637	4620	6394
638	4627	6387
639	4634	6379
640	4643	6374
641	4650	6366
642	4657	6360
643	4664	6352
644	4672	6346
645	4681	6340
646	4688	6332
647	4695	6326
648	4702	6318
649	4709	6310
650	4715	6301
651	4721	6293
652	4728	6285
653	4735	6277
654	4743	6271
655	4751	6265
656	4759	6258
657	4768	6254
658	4774	6245
659	4782	6239
660	4790	6232
661	4798	6226
662	4806	6220
663	4813	6213
664	4822	6207
665	4827	6196
666	4834	6189
667	4839	6180
668	4847	6172
669	4855	6166
670	4861	6158
671	4868	6150
672	4874	6142
673	4880	6133
674	4886	6124
675	4894	6117
676	4901	6110
677	4907	6102
678	4915	6095
679	4921	6087
680	4929	6081
681	4935	6072
682	4942	6064
683	4949	6057
684	4955	6048
685	4962	6040
686	4968	6032
687	4975	6023
688	4982	6016
689	4990	6010
690	4997	6002
691	5002	5993
692	5009	5985
693	5015	5976
694	5022	5969
695	5028	5961
696	5036	5954
697	5045	5948
698	5053	5942
699	5061	5936
700	5067	5927
701	5074	5920
702	5081	5912
703	5086	5902
704	5092	5894
705	5099	5886
706	5106	5879
707	5112	5871
708	5119	5863
709	5128	5858
710	5134	5849
711	5141	5841
712	5150	5836
713	5156	5828
714	5163	5820
715	5170	5813
716	5177	5806
717	5185	5799
718	5192	5792
719	5199	5784
720	5206	5776
721	5213	5769
722	5218	5759
723	5225	5752
724	5232	5745
725	5240	5738
726	5246	5730
727	5252	5721
728	5257	5712
729	5264	5704
730	5271	5696
731	5278	5689
732	5287	5684
733	5293	5676
734	5301	5669
